"","StationId","Cluster","RackQnty","Latitude","Longitude"
"1",1000,"2",16,40.441326,-80.004679
"2",1001,"2",19,40.440877,-80.00308
"3",1002,"1",15,40.43903,-80.00186
"4",1003,"1",15,40.4372,-80.000375
"5",1004,"1",15,40.4358002,-79.9968767
"6",1005,"1",19,40.4387769,-79.9974405
"7",1006,"1",21,40.4400542,-79.9951376
"8",1007,"1",19,40.437643,-79.986695
"9",1008,"1",35,40.440368,-79.988636
"10",1009,"1",19,40.445844,-79.99238
"11",1010,"2",15,40.444614,-79.9958114
"12",1011,"1",15,40.4448352,-80.0007479
"13",1012,"2",35,40.445834,-80.008882
"14",1013,"2",15,40.447571,-80.003964
"15",1014,"1",19,40.450595,-80.013204
"16",1015,"1",12,40.45509087,-80.0063467
"17",1016,"1",19,40.449631,-79.985893
"18",1017,"2",19,40.452124,-79.983543
"19",1018,"1",21,40.466103,-79.964628
"20",1019,"1",17,40.470188,-79.9603066
"21",1020,"1",15,40.465893,-79.954417
"22",1021,"1",19,40.462769,-79.950867
"23",1022,"1",15,40.4599487,-79.9456124
"24",1023,"1",21,40.456505,-79.939362
"25",1024,"1",17,40.458714,-79.933483
"26",1025,"1",15,40.464443,-79.933188
"27",1026,"1",13,40.460982,-79.926302
"28",1027,"1",19,40.458972,-79.922023
"29",1028,"1",19,40.455821,-79.915248
"30",1029,"1",19,40.4573211,-79.9248275
"31",1030,"1",12,40.4589116,-79.9290211
"32",1031,"1",19,40.45628,-79.930962
"33",1032,"1",15,40.452621,-79.928637
"34",1033,"1",19,40.45177,-79.932324
"35",1034,"1",15,40.448419,-79.947401
"36",1035,"1",19,40.446744,-79.950881
"37",1036,"1",19,40.442398,-79.951479
"38",1037,"1",20,40.441032,-79.948042
"39",1038,"1",19,40.434338,-79.951877
"40",1039,"1",19,40.437987,-79.95367
"41",1040,"1",21,40.4446284,-79.9550156
"42",1041,"2",19,40.442325,-79.957604
"43",1042,"1",12,40.445019,-79.977194
"44",1043,"1",15,40.438876,-79.960179
"45",1044,"1",19,40.435986,-79.956942
"46",1045,"2",19,40.428658,-79.965228
"47",1046,"1",18,40.42802,-79.969799
"48",1047,"1",20,40.428576,-79.974559
"49",1048,"1",16,40.429338,-79.980684
"50",1049,"1",19,40.4285528,-79.9863687
