"","Month","Day","Year","Hour","StationId","Bike_out","MeanOfTripDuration_1","MedianOfTripDuration_1","MeanOfTripDuration_2","MedianOfTripDuration_2","Customer","Daily","Subscriber","Unknown","Bike_in","RackQnty","Latitude","Longitude","Weekend","Holiday","DayofWeek","Weather.type","Visibility","Temperature","Wind.speed"
"1","9","1","2015","0",1000,0,0,0,0,0,0,0,0,0,0,16,40.441326,-80.004679,"0","0","Tue",0,9,22.8,0
"2","9","1","2015","1",1000,0,0,0,0,0,0,0,0,0,0,16,40.441326,-80.004679,"0","0","Tue",0,9,22.2,3
"3","9","1","2015","2",1000,0,0,0,0,0,0,0,0,0,0,16,40.441326,-80.004679,"0","0","Tue",0,7,21.1,0
"4","9","1","2015","3",1000,0,0,0,0,0,0,0,0,0,0,16,40.441326,-80.004679,"0","0","Tue",5,6,20.6,0
"5","9","1","2015","4",1000,0,0,0,0,0,0,0,0,0,0,16,40.441326,-80.004679,"0","0","Tue",5,4,19.4,0
"6","9","1","2015","5",1000,0,0,0,0,0,0,0,0,0,0,16,40.441326,-80.004679,"0","0","Tue",2,2.416666667,18.93333333,5.666666667
"7","9","1","2015","6",1000,0,0,0,0,0,0,0,0,0,1,16,40.441326,-80.004679,"0","0","Tue",3,2.666666667,19.26666667,4.333333333
"8","9","1","2015","7",1000,0,0,0,0,0,0,0,0,0,0,16,40.441326,-80.004679,"0","0","Tue",5,4,21.7,3
"9","9","1","2015","8",1000,1,261,261,261,261,0,0,1,0,0,16,40.441326,-80.004679,"0","0","Tue",0,7,24.4,0
"10","9","1","2015","9",1000,0,0,0,0,0,0,0,0,0,0,16,40.441326,-80.004679,"0","0","Tue",0,7,26.1,0
"11","9","1","2015","10",1000,0,0,0,0,0,0,0,0,0,0,16,40.441326,-80.004679,"0","0","Tue",0,9,27.2,5
"12","9","1","2015","11",1000,0,0,0,0,0,0,0,0,0,1,16,40.441326,-80.004679,"0","0","Tue",0,10,29.4,6
"13","9","1","2015","12",1000,1,323,323,323,323,0,0,1,0,0,16,40.441326,-80.004679,"0","0","Tue",0,10,30,6
"14","9","1","2015","13",1000,0,0,0,0,0,0,0,0,0,1,16,40.441326,-80.004679,"0","0","Tue",0,10,30.6,6
"15","9","1","2015","14",1000,1,433,433,433,433,1,0,0,0,0,16,40.441326,-80.004679,"0","0","Tue",0,10,30,6
"16","9","1","2015","15",1000,0,0,0,0,0,0,0,0,0,0,16,40.441326,-80.004679,"0","0","Tue",0,10,30.6,5
"17","9","1","2015","16",1000,0,0,0,0,0,0,0,0,0,0,16,40.441326,-80.004679,"0","0","Tue",0,10,30.6,5
"18","9","1","2015","17",1000,4,1617.33333333333,1322,2360.5,1875.5,1,0,3,0,2,16,40.441326,-80.004679,"0","0","Tue",0,10,28.9,6
"19","9","1","2015","18",1000,1,1714,1714,1714,1714,0,0,1,0,1,16,40.441326,-80.004679,"0","0","Tue",0,10,27.8,7
"20","9","1","2015","19",1000,0,0,0,0,0,0,0,0,0,2,16,40.441326,-80.004679,"0","0","Tue",0,10,26.7,5
"21","9","1","2015","20",1000,0,0,0,0,0,0,0,0,0,0,16,40.441326,-80.004679,"0","0","Tue",0,10,26.1,7
"22","9","1","2015","21",1000,0,0,0,0,0,0,0,0,0,0,16,40.441326,-80.004679,"0","0","Tue",0,10,25.6,7
"23","9","1","2015","22",1000,0,0,0,0,0,0,0,0,0,0,16,40.441326,-80.004679,"0","0","Tue",0,10,25,0
"24","9","1","2015","23",1000,0,0,0,0,0,0,0,0,0,0,16,40.441326,-80.004679,"0","0","Tue",0,10,24.4,3
"25","9","2","2015","0",1000,0,0,0,0,0,0,0,0,0,0,16,40.441326,-80.004679,"0","0","Wed",0,10,22.8,0
"26","9","2","2015","1",1000,0,0,0,0,0,0,0,0,0,0,16,40.441326,-80.004679,"0","0","Wed",0,9,21.7,5
"27","9","2","2015","2",1000,0,0,0,0,0,0,0,0,0,0,16,40.441326,-80.004679,"0","0","Wed",0,8,21.7,6
"28","9","2","2015","3",1000,0,0,0,0,0,0,0,0,0,0,16,40.441326,-80.004679,"0","0","Wed",0,8,21.7,3
"29","9","2","2015","4",1000,0,0,0,0,0,0,0,0,0,0,16,40.441326,-80.004679,"0","0","Wed",0,8,21.7,0
"30","9","2","2015","5",1000,0,0,0,0,0,0,0,0,0,0,16,40.441326,-80.004679,"0","0","Wed",5,6,20.6,3
"31","9","2","2015","6",1000,0,0,0,0,0,0,0,0,0,1,16,40.441326,-80.004679,"0","0","Wed",5,6,22.2,0
"32","9","2","2015","7",1000,0,0,0,0,0,0,0,0,0,0,16,40.441326,-80.004679,"0","0","Wed",5,6,23.3,0
"33","9","2","2015","8",1000,1,267,267,267,267,0,0,1,0,1,16,40.441326,-80.004679,"0","0","Wed",0,7,23.9,0
"34","9","2","2015","9",1000,0,0,0,0,0,0,0,0,0,1,16,40.441326,-80.004679,"0","0","Wed",0,9,26.1,3
"35","9","2","2015","10",1000,0,0,0,0,0,0,0,0,0,0,16,40.441326,-80.004679,"0","0","Wed",8,10,26.85,8
"36","9","2","2015","11",1000,1,0,0,3781,3781,1,0,0,0,0,16,40.441326,-80.004679,"0","0","Wed",8,5.25,25,6.666666667
"37","9","2","2015","12",1000,0,0,0,0,0,0,0,0,0,2,16,40.441326,-80.004679,"0","0","Wed",0,10,26.35,7
"38","9","2","2015","13",1000,0,0,0,0,0,0,0,0,0,1,16,40.441326,-80.004679,"0","0","Wed",0,10,30,9
