"","Year","Month","Day","Hour","Weather.type","Visibility","Temperature","Wind.speed"
"1","2015","7","1","0",1.333333333,6.333333333,15.73333333,8.666666667
"2","2015","7","1","1",0,7,15.6,7
"3","2015","7","1","2",2,5,15,6
"4","2015","7","1","3",2,6,15.2,7
"5","2015","7","1","4",2,4,15.6,7
"6","2015","7","1","5",2,2,15.85,8
"7","2015","7","1","6",3.5,2.25,16.4,8.5
"8","2015","7","1","7",5,3.5,16.95,8.5
"9","2015","7","1","8",5,6,17.8,11
"10","2015","7","1","9",1.25,6.75,18.1,11.25
"11","2015","7","1","10",0,8,18.9,14
"12","2015","7","1","11",0,9,20,7.5
"13","2015","7","1","12",0,9.5,21,8.75
"14","2015","7","1","13",0,10,22.2,8
"15","2015","7","1","14",0,10,23.3,11
"16","2015","7","1","15",0,10,23.3,13
"17","2015","7","1","16",5,2,23.95,10.5
"18","2015","7","1","17",0,10,23.05,8
"19","2015","7","1","18",0,10,22.2,9
"20","2015","7","1","19",0,10,20.6,6
"21","2015","7","1","20",0,10,20.6,5
"22","2015","7","1","21",0,10,20,5
"23","2015","7","1","22",0,10,19.4,5
"24","2015","7","1","23",0,10,19.4,5
"25","2015","7","2","0",0,10,17.8,3
"26","2015","7","2","1",0,10,17.2,3
"27","2015","7","2","2",0,7,16.1,3
"28","2015","7","2","3",2,4,15.6,3
"29","2015","7","2","4",0,7,16.1,0
"30","2015","7","2","5",0,7,15.6,0
"31","2015","7","2","6",5,6,16.7,0
"32","2015","7","2","7",0,9,18.3,0
"33","2015","7","2","8",0,10,19.4,5
"34","2015","7","2","9",0,10,20.6,0
"35","2015","7","2","10",0,10,21.225,2.75
"36","2015","7","2","11",0,10,22.2,5.5
"37","2015","7","2","12",0,10,21.7,8
"38","2015","7","2","13",0,10,22.8,6
"39","2015","7","2","14",0,10,23.3,5
"40","2015","7","2","15",0,10,25,0
"41","2015","7","2","16",0,10,24.4,3
"42","2015","7","2","17",0,10,23.9,6
