TripId,StartTime,StopTime,BikeId,TripDuration,FromStationId,FromStationName,ToStationId,ToStationName,UserType
14321596,2015/10/1 0:22,2015/10/1 0:32,70374,572,1035,Fifth Ave & S Dithridge St,1038,Boulevard of the Allies & Parkview Ave,Subscriber
14321781,2015/10/1 0:46,2015/10/1 0:52,70283,363,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1017,21st St & Penn Ave,Customer
14321885,2015/10/1 0:57,2015/10/1 1:02,70068,303,1037,Frew St. & Schenley Dr.,1038,Boulevard of the Allies & Parkview Ave,Subscriber
14324479,2015/10/1 3:01,2015/10/1 3:08,70031,411,1040,Bigelow Blvd & 5th Ave,1038,Boulevard of the Allies & Parkview Ave,Customer
14327116,2015/10/1 5:29,2015/10/1 5:33,70075,261,1047,S 22nd St & E Carson St,1049,S 12th St & E Carson St,Subscriber
14327205,2015/10/1 5:34,2015/10/1 5:44,70401,611,1049,S 12th St & E Carson St,1000,Liberty Ave & Stanwix St.,Subscriber
14328412,2015/10/1 6:38,2015/10/1 6:46,70383,431,1029,Alder St & S Highland Ave,1023,Liberty Ave & Baum Blvd,Subscriber
14328920,2015/10/1 7:01,2015/10/1 7:24,70312,1370,1025,Penn Ave & N Fairmount St,1001,Forbes Ave & Market Square,Customer
14329359,2015/10/1 7:18,2015/10/1 7:31,70145,778,1049,S 12th St & E Carson St,1006,Ross St & Sixth Ave (Steel Plaza T Station),Subscriber
14329527,2015/10/1 7:25,2015/10/1 7:34,70426,593,1048,S 18th St & Sidney St,1006,Ross St & Sixth Ave (Steel Plaza T Station),Subscriber
14329748,2015/10/1 7:34,2015/10/1 7:39,70120,338,1008,Centre Ave & Consol Energy Center,1006,Ross St & Sixth Ave (Steel Plaza T Station),Subscriber
14329922,2015/10/1 7:41,2015/10/1 7:49,70289,536,1038,Boulevard of the Allies & Parkview Ave,1040,Bigelow Blvd & 5th Ave,Subscriber
14330012,2015/10/1 7:44,2015/10/1 7:48,70104,263,1029,Alder St & S Highland Ave,1028,Penn Ave & Putnam St -- Bakery Square,Subscriber
14330064,2015/10/1 7:46,2015/10/1 7:58,70027,748,1031,Maryland Ave & Ellsworth Ave,1020,42nd St & Penn Ave (Children's Hospital),Subscriber
14330091,2015/10/1 7:47,2015/10/1 7:54,70323,412,1049,S 12th St & E Carson St,1004,First Ave & B St (T Station),Subscriber
14330117,2015/10/1 7:48,2015/10/1 13:31,70118,20595,1015,Federal St & E North Ave,1001,Forbes Ave & Market Square,Subscriber
14330149,2015/10/1 7:49,2015/10/1 8:07,70022,1082,1014,Ridge Ave & Brighton Rd (CCAC),1000,Liberty Ave & Stanwix St.,Subscriber
14330225,2015/10/1 7:52,2015/10/1 8:12,70071,1204,1019,42nd St & Butler St,1005,Forbes Ave & Grant St,Subscriber
14330287,2015/10/1 7:54,2015/10/1 8:00,70068,344,1038,Boulevard of the Allies & Parkview Ave,1041,Fifth Ave & S Bouquet St,Subscriber
14330293,2015/10/1 7:54,2015/10/1 8:18,70059,1417,1021,Taylor St & Liberty Ave,1002,Third Ave & Wood St,Subscriber
14330725,2015/10/1 8:11,2015/10/1 8:36,70358,1466,1026,S Whitfield St & Baum Blvd,1000,Liberty Ave & Stanwix St.,Subscriber
14330745,2015/10/1 8:12,2015/10/1 8:28,70250,953,1020,42nd St & Penn Ave (Children's Hospital),1036,Schenley Dr at Schenley Plaza (Carnegie Library,
14330767,2015/10/1 8:13,2015/10/1 8:13,70087,16,1022,Liberty Ave & S Milvalle Ave --West Penn Hospital ,1022,Liberty Ave & S Milvalle Ave --West Penn Hospital ,Subscriber
14330775,2015/10/1 8:13,2015/10/1 8:14,70246,38,1012,North Shore Trail & Fort Duquesne Bridge,1012,North Shore Trail & Fort Duquesne Bridge,Subscriber
14330812,2015/10/1 8:14,2015/10/1 8:15,70387,32,1012,North Shore Trail & Fort Duquesne Bridge,1012,North Shore Trail & Fort Duquesne Bridge,Subscriber
14330915,2015/10/1 8:19,2015/10/1 8:20,70374,10,1038,Boulevard of the Allies & Parkview Ave,1038,Boulevard of the Allies & Parkview Ave,Subscriber
14330924,2015/10/1 8:20,2015/10/1 8:25,70200,322,1017,21st St & Penn Ave,1010,10th St & Penn Ave (David L. Lawrence Convention Center),Subscriber
