year,month,day,hour,weather.type,visibility,temperature,wind.speed
2015,7,1,0,1.333333333,6.333333333,15.73333333,8.666666667
2015,7,1,1,0,7,15.6,7
2015,7,1,2,2,5,15,6
2015,7,1,3,2,6,15.2,7
2015,7,1,4,2,4,15.6,7
2015,7,1,5,2,2,15.85,8
2015,7,1,6,3.5,2.25,16.4,8.5
2015,7,1,7,5,3.5,16.95,8.5
2015,7,1,8,5,6,17.8,11
2015,7,1,9,1.25,6.75,18.1,11.25
2015,7,1,10,0,8,18.9,14
2015,7,1,11,0,9,20,7.5
2015,7,1,12,0,9.5,21,8.75
2015,7,1,13,0,10,22.2,8
2015,7,1,14,0,10,23.3,11
2015,7,1,15,0,10,23.3,13
2015,7,1,16,5,2,23.95,10.5
2015,7,1,17,0,10,23.05,8
2015,7,1,18,0,10,22.2,9
2015,7,1,19,0,10,20.6,6
2015,7,1,20,0,10,20.6,5
2015,7,1,21,0,10,20,5
2015,7,1,22,0,10,19.4,5
2015,7,1,23,0,10,19.4,5
2015,7,2,0,0,10,17.8,3
2015,7,2,1,0,10,17.2,3
2015,7,2,2,0,7,16.1,3
2015,7,2,3,2,4,15.6,3
2015,7,2,4,0,7,16.1,0
2015,7,2,5,0,7,15.6,0
2015,7,2,6,5,6,16.7,0
2015,7,2,7,0,9,18.3,0
2015,7,2,8,0,10,19.4,5
2015,7,2,9,0,10,20.6,0
2015,7,2,10,0,10,21.225,2.75
2015,7,2,11,0,10,22.2,5.5
2015,7,2,12,0,10,21.7,8
2015,7,2,13,0,10,22.8,6
2015,7,2,14,0,10,23.3,5
2015,7,2,15,0,10,25,0
2015,7,2,16,0,10,24.4,3
2015,7,2,17,0,10,23.9,6
2015,7,2,18,0,10,22.8,3
2015,7,2,19,0,10,21.1,6
2015,7,2,20,0,10,20.6,3
2015,7,2,21,0,10,19.4,6
2015,7,2,22,0,10,17.8,6
2015,7,2,23,0,10,16.7,5
2015,7,3,0,0,10,16.7,5
2015,7,3,1,0,10,16.1,3
2015,7,3,2,0,10,16.1,0
2015,7,3,3,0,10,15,3
2015,7,3,4,0,10,14.4,3
2015,7,3,5,0,10,15,3
2015,7,3,6,0,10,16.1,5
2015,7,3,7,0,10,18.3,0
2015,7,3,8,0,10,20.6,0
2015,7,3,9,0,10,22.2,5
2015,7,3,10,0,10,23.3,6
2015,7,3,11,0,10,24.4,6
2015,7,3,12,0,10,25,8
2015,7,3,13,0,10,25,6
2015,7,3,14,0,10,25,8
2015,7,3,15,0,10,24.4,6
2015,7,3,16,0,10,23.9,8
2015,7,3,17,4,8,21.85,10
2015,7,3,18,0,7,21.7,8
2015,7,3,19,2.666666667,6.333333333,20.36666667,9.333333333
2015,7,3,20,4.333333333,4,19.23333333,6.333333333
2015,7,3,21,3,4,18.6,7
2015,7,3,22,2,6,18.3,6
2015,7,3,23,2,4.666666667,18.13333333,0
2015,7,4,0,4.666666667,2.833333333,18.03333333,3.333333333
2015,7,4,1,5.714285714,0.964285714,17.85714286,3
2015,7,4,2,4.428571429,1.392857143,17.8,0.857142857
2015,7,4,3,4.25,1.125,17.8,2
2015,7,4,4,5,0.4375,17.8,3.5
2015,7,4,5,3,0.583333333,17.8,6
2015,7,4,6,2,0.892857143,18.14285714,5.571428571
2015,7,4,7,3.5,2.958333333,19.15,5.5
2015,7,4,8,5,5,20,5.666666667
2015,7,4,9,5,6,20.56666667,6
2015,7,4,10,1.666666667,6.666666667,21.66666667,5
2015,7,4,11,0,7.333333333,23.73333333,7
2015,7,4,12,0,8,25.6,7
2015,7,4,13,0,10,25.6,7
2015,7,4,14,0,10,24.4,6
2015,7,4,15,0,10,25.6,8
2015,7,4,16,0,10,25,6
2015,7,4,17,0,10,24.4,6
2015,7,4,18,0,10,23.3,6
2015,7,4,19,0,10,22.2,5
2015,7,4,20,0,10,21.1,5
2015,7,4,21,0,10,20,5
2015,7,4,22,0,10,19.4,3
2015,7,4,23,0,10,19.4,3
2015,7,5,0,0,9,17.8,3
2015,7,5,1,0,8,17.2,3
2015,7,5,2,0,7,16.7,0
2015,7,5,3,5,6,15.6,0
2015,7,5,4,0,7,16.1,3
2015,7,5,5,5,5,16.1,0
2015,7,5,6,5,4,16.1,0
2015,7,5,7,5,5,18.3,0
2015,7,5,8,5,5,20,0
2015,7,5,9,0,10,22.2,3
2015,7,5,10,0,10,23.9,0
2015,7,5,11,0,10,25.6,0
2015,7,5,12,0,10,26.1,6
2015,7,5,13,0,10,26.7,NA
2015,7,5,14,0,10,26.7,5
2015,7,5,15,0,10,26.7,3
2015,7,5,16,0,10,26.1,3
