Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
15335599,2016/1/1 1:44,2016/1/1 2:01,70294,1068,1026,S Whitfield St & Baum Blvd,1032,Maryland Ave & Walnut St,Customer
15335629,2016/1/1 2:39,2016/1/1 2:53,70360,892,1029,Alder St & S Highland Ave,1021,Taylor St & Liberty Ave,Customer
15336195,2016/1/1 10:02,2016/1/1 10:06,70369,245,1029,Alder St & S Highland Ave,1028,Penn Ave & Putnam St (Bakery Square),Subscriber
15336282,2016/1/1 10:39,2016/1/1 10:50,70304,683,1041,Fifth Ave & S Bouquet St,1047,S 22nd St & E Carson St,Subscriber
15336307,2016/1/1 10:51,2016/1/1 11:14,70345,1346,1047,S 22nd St & E Carson St,1002,Third Ave & Wood St,Subscriber
15336359,2016/1/1 11:16,2016/1/1 11:37,70436,1258,1002,Third Ave & Wood St,1000,Liberty Ave & Stanwix St,Subscriber
15336395,2016/1/1 11:38,2016/1/1 11:48,70209,604,1000,Liberty Ave & Stanwix St,1007,Stevenson St & Forbes Ave,Subscriber
15336426,2016/1/1 11:58,2016/1/1 12:04,70321,373,1007,Stevenson St & Forbes Ave,1005,Forbes Ave & Grant St,Subscriber
15336448,2016/1/1 12:05,2016/1/1 12:25,70366,1190,1005,Forbes Ave & Grant St,1047,S 22nd St & E Carson St,Subscriber
15336478,2016/1/1 12:28,2016/1/1 12:51,70449,1380,1047,S 22nd St & E Carson St,1047,S 22nd St & E Carson St,Subscriber
15336498,2016/1/1 12:39,2016/1/1 12:43,70285,239,1014,Ridge Ave & Brighton Rd (CCAC),1015,Federal St & E North Ave,Customer
15336525,2016/1/1 12:54,2016/1/1 13:20,70366,1604,1047,S 22nd St & E Carson St,1007,Stevenson St & Forbes Ave,Subscriber
15336581,2016/1/1 13:25,2016/1/1 13:45,70209,1202,1007,Stevenson St & Forbes Ave,1041,Fifth Ave & S Bouquet St,Subscriber
15336589,2016/1/1 13:30,2016/1/1 15:39,70274,7711,1012,North Shore Trail & Fort Duquesne Bridge,1033,Ivy St & Walnut St   ,Customer
15336596,2016/1/1 13:37,2016/1/1 15:39,70465,7337,1012,North Shore Trail & Fort Duquesne Bridge,1033,Ivy St & Walnut St   ,Customer
15336623,2016/1/1 13:55,2016/1/1 14:17,70489,1301,1045,S 27th St & Tunnel Blvd (Southside Works),1049,S 12th St & E Carson St,Customer
15336627,2016/1/1 13:58,2016/1/1 14:16,70475,1036,1045,S 27th St & Tunnel Blvd (Southside Works),1049,S 12th St & E Carson St,Customer
15336635,2016/1/1 14:03,2016/1/1 16:07,70452,7436,1018,37th St & Butler St,1005,Forbes Ave & Grant St,Customer
15336648,2016/1/1 14:14,2016/1/1 16:05,70282,6673,1018,37th St & Butler St,1005,Forbes Ave & Grant St,Customer
15336672,2016/1/1 14:32,2016/1/1 15:32,70442,3598,1003,First Ave & Smithfield St (Art Institute),1003,First Ave & Smithfield St (Art Institute),Customer
15336678,2016/1/1 14:35,2016/1/1 15:32,70260,3415,1003,First Ave & Smithfield St (Art Institute),1003,First Ave & Smithfield St (Art Institute),Customer
15336679,2016/1/1 14:36,2016/1/1 14:47,70454,642,1006,Ross St & Sixth Ave (Steel Plaza T Station),1017,21st St & Penn Ave,Subscriber
15336680,2016/1/1 14:37,2016/1/1 14:47,70368,632,1006,Ross St & Sixth Ave (Steel Plaza T Station),1017,21st St & Penn Ave,Subscriber
15336868,2016/1/1 16:42,2016/1/1 16:58,70329,966,1022,Liberty Ave & S Millvale Ave (West Penn Hospital),1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),Customer
15336999,2016/1/1 18:33,2016/1/1 18:54,70293,1252,1048,S 18th St & Sidney St,1004,First Ave & B St (T Station),Customer
15337002,2016/1/1 18:34,2016/1/1 18:51,70202,1049,1048,S 18th St & Sidney St,1004,First Ave & B St (T Station),Customer
15337005,2016/1/1 18:37,2016/1/1 19:16,70222,2388,1039,Atwood St & Bates St,1012,North Shore Trail & Fort Duquesne Bridge,Customer
15337006,2016/1/1 18:37,2016/1/1 19:15,70232,2266,1039,Atwood St & Bates St,1012,North Shore Trail & Fort Duquesne Bridge,Customer
15337043,2016/1/1 19:25,2016/1/1 19:29,70369,263,1028,Penn Ave & Putnam St (Bakery Square),1029,Alder St & S Highland Ave,Subscriber
15337107,2016/1/1 21:41,2016/1/1 21:50,70474,581,1038,Boulevard of the Allies & Parkview Ave,1045,S 27th St & Tunnel Blvd (Southside Works),Customer
15337713,2016/1/2 7:49,2016/1/2 7:53,70369,254,1029,Alder St & S Highland Ave,1028,Penn Ave & Putnam St (Bakery Square),Subscriber
15337970,2016/1/2 9:44,2016/1/2 9:46,70237,128,1020,42nd and Penn Ave.,1019,42nd St & Butler St,Customer
15338104,2016/1/2 10:37,2016/1/2 14:49,70486,15117,1012,North Shore Trail & Fort Duquesne Bridge,1000,Liberty Ave & Stanwix St,Customer
15338107,2016/1/2 10:38,2016/1/2 14:48,70341,15008,1012,North Shore Trail & Fort Duquesne Bridge,1000,Liberty Ave & Stanwix St,Customer
15338281,2016/1/2 11:40,2016/1/2 12:59,70474,4737,1045,S 27th St & Tunnel Blvd (Southside Works),1045,S 27th St & Tunnel Blvd (Southside Works),Customer
15338299,2016/1/2 11:45,2016/1/2 13:00,70337,4466,1045,S 27th St & Tunnel Blvd (Southside Works),1045,S 27th St & Tunnel Blvd (Southside Works),Customer
15338583,2016/1/2 13:42,2016/1/2 14:02,70436,1205,1000,Liberty Ave & Stanwix St,1047,S 22nd St & E Carson St,Subscriber
15338611,2016/1/2 13:52,2016/1/2 14:15,70319,1341,1001,Forbes Ave & Market Square,1000,Liberty Ave & Stanwix St,Customer
15338633,2016/1/2 14:02,2016/1/2 14:15,70390,764,1001,Forbes Ave & Market Square,1000,Liberty Ave & Stanwix St,Customer
15338740,2016/1/2 14:50,2016/1/2 15:10,70201,1205,1016,17th St & Penn Ave,1021,Taylor St & Liberty Ave,Subscriber
15338790,2016/1/2 15:18,2016/1/2 15:22,70396,291,1029,Alder St & S Highland Ave,1028,Penn Ave & Putnam St (Bakery Square),Subscriber
15338840,2016/1/2 15:42,2016/1/2 15:53,70223,626,1007,Stevenson St & Forbes Ave,1045,S 27th St & Tunnel Blvd (Southside Works),Subscriber
15338898,2016/1/2 16:24,2016/1/2 17:14,70484,3015,1005,Forbes Ave & Grant St,1005,Forbes Ave & Grant St,Customer
15338905,2016/1/2 16:28,2016/1/2 17:15,70495,2801,1005,Forbes Ave & Grant St,1005,Forbes Ave & Grant St,Customer
15338940,2016/1/2 16:50,2016/1/2 17:08,70436,1109,1047,S 22nd St & E Carson St,1000,Liberty Ave & Stanwix St,Subscriber
15338983,2016/1/2 17:13,2016/1/2 17:24,70313,674,1000,Liberty Ave & Stanwix St,1001,Forbes Ave & Market Square,Subscriber
15338988,2016/1/2 17:15,2016/1/2 17:20,70369,263,1028,Penn Ave & Putnam St (Bakery Square),1029,Alder St & S Highland Ave,Subscriber
15339184,2016/1/2 20:16,2016/1/2 20:20,70470,243,1028,Penn Ave & Putnam St (Bakery Square),1029,Alder St & S Highland Ave,Subscriber
15339191,2016/1/2 20:29,2016/1/2 20:43,70470,853,1029,Alder St & S Highland Ave,1040,Bigelow Blvd & Fifth Ave,Subscriber
15339211,2016/1/2 20:51,2016/1/2 20:59,70342,494,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1016,17th St & Penn Ave,Subscriber
15339212,2016/1/2 20:53,2016/1/2 20:59,70480,326,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1016,17th St & Penn Ave,Subscriber
15339309,2016/1/2 23:27,2016/1/2 23:32,70474,319,1045,S 27th St & Tunnel Blvd (Southside Works),1048,S 18th St & Sidney St,Subscriber
15339324,2016/1/3 0:06,2016/1/3 0:46,70377,2351,1041,Fifth Ave & S Bouquet St,1012,North Shore Trail & Fort Duquesne Bridge,Customer
15339325,2016/1/3 0:07,2016/1/3 0:45,70496,2237,1041,Fifth Ave & S Bouquet St,1012,North Shore Trail & Fort Duquesne Bridge,Customer
15339335,2016/1/3 0:32,2016/1/3 17:41,70219,61746,1001,Forbes Ave & Market Square,1013,Isabella St & Federal St (PNC Park),Customer
15339377,2016/1/3 2:33,2016/1/3 3:05,70291,1923,1023,Liberty Ave & Baum Blvd,1015,Federal St & E North Ave,Customer
15339408,2016/1/3 3:29,2016/1/3 3:39,70226,561,1007,Stevenson St & Forbes Ave,1048,S 18th St & Sidney St,Subscriber
15339588,2016/1/3 5:58,2016/1/3 6:21,70426,1368,1006,Ross St & Sixth Ave (Steel Plaza T Station),1000,Liberty Ave & Stanwix St,Subscriber
15339789,2016/1/3 7:51,2016/1/3 7:55,70322,282,1029,Alder St & S Highland Ave,1028,Penn Ave & Putnam St (Bakery Square),Subscriber
15339817,2016/1/3 7:59,2016/1/3 8:18,70346,1151,1038,Boulevard of the Allies & Parkview Ave,1004,First Ave & B St (T Station),Subscriber
15339820,2016/1/3 7:59,2016/1/3 8:27,70304,1685,1047,S 22nd St & E Carson St,1000,Liberty Ave & Stanwix St,Subscriber
15339940,2016/1/3 8:41,2016/1/3 9:04,70304,1376,1000,Liberty Ave & Stanwix St,1007,Stevenson St & Forbes Ave,Subscriber
15339957,2016/1/3 8:46,2016/1/3 9:11,70223,1519,1045,S 27th St & Tunnel Blvd (Southside Works),1029,Alder St & S Highland Ave,Subscriber
15340013,2016/1/3 9:09,2016/1/3 9:23,70304,830,1007,Stevenson St & Forbes Ave,1041,Fifth Ave & S Bouquet St,Subscriber
15340067,2016/1/3 9:27,2016/1/3 9:40,70494,766,1001,Forbes Ave & Market Square,1016,17th St & Penn Ave,Customer
15340295,2016/1/3 11:03,2016/1/3 11:19,70235,989,1000,Liberty Ave & Stanwix St,1048,S 18th St & Sidney St,Customer
15340426,2016/1/3 11:50,2016/1/3 11:56,70235,330,1048,S 18th St & Sidney St,1045,S 27th St & Tunnel Blvd (Southside Works),Subscriber
15340542,2016/1/3 12:51,2016/1/3 12:57,70223,382,1029,Alder St & S Highland Ave,1033,Ivy St & Walnut St   ,Subscriber
15340574,2016/1/3 13:03,2016/1/3 13:07,70405,216,1041,Fifth Ave & S Bouquet St,1039,Atwood St & Bates St,Subscriber
15340576,2016/1/3 13:04,2016/1/3 13:11,70229,462,1014,Ridge Ave & Brighton Rd (CCAC),1014,Ridge Ave & Brighton Rd (CCAC),Subscriber
15340586,2016/1/3 13:06,2016/1/3 13:10,70344,192,1040,Bigelow Blvd & Fifth Ave,1041,Fifth Ave & S Bouquet St,Subscriber
15340745,2016/1/3 14:33,2016/1/3 15:50,70314,4642,1046,S 25th St & E Carson St,1045,S 27th St & Tunnel Blvd (Southside Works),Customer
15340753,2016/1/3 14:35,2016/1/3 15:51,70242,4580,1046,S 25th St & E Carson St,1045,S 27th St & Tunnel Blvd (Southside Works),Customer
15340782,2016/1/3 14:55,2016/1/3 15:00,70263,290,1009,12th St & Penn Ave,1010,10th St & Penn Ave (David L. Lawrence Convention Center),Subscriber
15340831,2016/1/3 15:37,2016/1/3 15:43,70366,329,1007,Stevenson St & Forbes Ave,1003,First Ave & Smithfield St (Art Institute),Subscriber
15340849,2016/1/3 15:45,2016/1/3 15:53,70334,510,1001,Forbes Ave & Market Square,1007,Stevenson St & Forbes Ave,Customer
15340884,2016/1/3 16:13,2016/1/3 16:27,70226,806,1048,S 18th St & Sidney St,1001,Forbes Ave & Market Square,Customer
15340890,2016/1/3 16:24,2016/1/3 17:19,70281,3297,1038,Boulevard of the Allies & Parkview Ave,1038,Boulevard of the Allies & Parkview Ave,Customer
15340892,2016/1/3 16:25,2016/1/3 17:20,70253,3284,1038,Boulevard of the Allies & Parkview Ave,1038,Boulevard of the Allies & Parkview Ave,Customer
15340898,2016/1/3 16:33,2016/1/3 16:37,70237,253,1028,Penn Ave & Putnam St (Bakery Square),1029,Alder St & S Highland Ave,Subscriber
15340932,2016/1/3 17:09,2016/1/3 17:30,70422,1259,1004,First Ave & B St (T Station),1038,Boulevard of the Allies & Parkview Ave,Subscriber
15341068,2016/1/3 20:18,2016/1/3 20:24,70260,357,1003,First Ave & Smithfield St (Art Institute),1007,Stevenson St & Forbes Ave,Subscriber
15341078,2016/1/3 20:37,2016/1/3 20:55,70380,1074,1033,Ivy St & Walnut St   ,1033,Ivy St & Walnut St   ,Customer
15342094,2016/1/4 7:27,2016/1/4 7:45,70398,1089,1047,S 22nd St & E Carson St,1002,Third Ave & Wood St,Subscriber
15342158,2016/1/4 7:46,2016/1/4 7:56,70345,615,1002,Third Ave & Wood St,1007,Stevenson St & Forbes Ave,Subscriber
15342166,2016/1/4 7:48,2016/1/4 7:53,70237,305,1029,Alder St & S Highland Ave,1028,Penn Ave & Putnam St (Bakery Square),Subscriber
15342343,2016/1/4 8:39,2016/1/4 8:42,70349,186,1032,Maryland Ave & Walnut St,1031,Maryland Ave & Ellsworth Ave,Subscriber
15342380,2016/1/4 8:56,2016/1/4 9:04,70376,484,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1003,First Ave & Smithfield St (Art Institute),Subscriber
15342407,2016/1/4 9:07,2016/1/4 9:14,70482,415,1034,Ellsworth Ave & N Neville St,1037,Frew St & Schenley Dr,Subscriber
15342432,2016/1/4 9:18,2016/1/4 9:49,70420,1860,1043,Coltart Ave & Forbes Ave,1028,Penn Ave & Putnam St (Bakery Square),Subscriber
15342572,2016/1/4 10:04,2016/1/4 10:11,70392,439,1034,Ellsworth Ave & N Neville St,1033,Ivy St & Walnut St   ,Customer
15342577,2016/1/4 10:05,2016/1/4 10:17,70240,727,1049,S 12th St & E Carson St,1001,Forbes Ave & Market Square,Customer
15342837,2016/1/4 11:05,2016/1/4 11:16,70359,660,1002,Third Ave & Wood St,1016,17th St & Penn Ave,Customer
15342929,2016/1/4 11:26,2016/1/4 12:57,70463,5460,1047,S 22nd St & E Carson St,1047,S 22nd St & E Carson St,Customer
15342931,2016/1/4 11:27,2016/1/4 12:57,70248,5409,1047,S 22nd St & E Carson St,1047,S 22nd St & E Carson St,Customer
15343243,2016/1/4 12:39,2016/1/4 12:42,70300,197,1025,Penn Ave & N Fairmount St,1026,S Whitfield St & Baum Blvd,Subscriber
15343277,2016/1/4 12:46,2016/1/4 13:07,70286,1284,1027,Shady Ave and Ellsworth Ave,1041,Fifth Ave & S Bouquet St,Subscriber
15343394,2016/1/4 13:13,2016/1/4 13:18,70455,299,1023,Liberty Ave & Baum Blvd,1022,Liberty Ave & S Millvale Ave (West Penn Hospital),Subscriber
15343577,2016/1/4 14:16,2016/1/4 14:45,70446,1730,1024,S Negley Ave & Baum Blvd,1006,Ross St & Sixth Ave (Steel Plaza T Station),Customer
